disturbance_matrix_id,source_pool,sink_pool,proportion
20,FineRoots,CO2,0.11800000071525574
20,FineRoots,CH4,0.012000000104308128
20,AboveGroundVeryFastSoil,AboveGroundVeryFastSoil,0.6510000228881836
20,AboveGroundVeryFastSoil,MediumSoil,0.10899999737739563
20,AboveGroundVeryFastSoil,AboveGroundSlowSoil,0.10899999737739563
20,AboveGroundVeryFastSoil,CO2,0.11800000071525574
20,AboveGroundVeryFastSoil,CH4,0.012000000104308128
20,AboveGroundVeryFastSoil,CO,0.0010000000474974513
20,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,0.6510000228881836
20,BelowGroundVeryFastSoil,MediumSoil,0.10899999737739563
20,BelowGroundVeryFastSoil,BelowGroundSlowSoil,0.10899999737739563
20,BelowGroundVeryFastSoil,CO2,0.11800000071525574
20,BelowGroundVeryFastSoil,CH4,0.012000000104308128
20,BelowGroundVeryFastSoil,CO,0.0010000000474974513
20,AboveGroundFastSoil,AboveGroundFastSoil,0.6510000228881836
20,AboveGroundFastSoil,MediumSoil,0.10899999737739563
20,AboveGroundFastSoil,AboveGroundSlowSoil,0.10899999737739563
20,AboveGroundFastSoil,CO2,0.11800000071525574
20,AboveGroundFastSoil,CH4,0.012000000104308128
20,AboveGroundFastSoil,CO,0.0010000000474974513
20,BelowGroundFastSoil,BelowGroundFastSoil,0.6510000228881836
20,BelowGroundFastSoil,MediumSoil,0.10899999737739563
